,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.5982142857142857,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.00020029544830322266,0.0004005909852932656
MedPFNClassifier,0.7910714285714286,0.03531021416658071,0.7480950036871754,0.04487425423289251,0.7244444444444444,0.06301087501670145,0.8517081260364842,0.03333999916848723,0.7351181772080889,0.04878493993189505,0.3746074676513672,0.05766147253831011
MedPFNClassifier,0.8071428571428573,0.035535265610950724,0.7270364746871847,0.036841449487765604,0.8333333333333334,0.07387008950486514,0.8822885572139304,0.026105347767477617,0.7753545640000267,0.04648273459986827,1.972716736793518,0.15630852705076181
MedPFNClassifier,0.825,0.034855752314184155,0.7773005208715563,0.020563824470220666,0.788888888888889,0.09335978461155559,0.888988391376451,0.02886145841827121,0.7809367677649248,0.055570795977935954,14.415968489646911,1.0713755650442405
RandomForestClassifier,0.8419642857142857,0.0376802640107307,0.8397219033713785,0.05084562704743207,0.7511111111111111,0.06577177149754997,0.9182255389718076,0.021053321091582096,0.7916898957240796,0.05210882820738965,0.38665778636932374,0.014405318217910162
CatBoostGrid,0.8607142857142855,0.027721740529035754,0.8490831727459636,0.03370656016741423,0.7955555555555553,0.061903947898596094,0.9280928689883915,0.01611735547874901,0.82016977166919,0.04004762459620738,150.83009791374207,11.597391260175604
XGBoostGrid,0.8526785714285715,0.03463779418084075,0.8332604520449418,0.04614370412706579,0.7933333333333333,0.060491811505849785,0.9283582089552238,0.009140037549515466,0.8117204466653517,0.046288566940294824,110.95082874298096,11.789455277162379
LogisticRegressionClassifier,0.7866071428571428,0.025079592687835977,0.7634067104798812,0.04173371062868622,0.6822222222222223,0.03303570832737444,0.8566169154228855,0.026696043322454403,0.7199047067920038,0.03102482291606836,0.009400010108947754,0.0012003188005848646
TabPFNClassifier,0.8616071428571427,0.03896991579070569,0.8219011163616103,0.03708038029482135,0.8355555555555556,0.0758165427076977,0.9309121061359867,0.02033416372107839,0.8277769735766801,0.05321074607355064,2.8008682489395142,0.4738356488693194
TabForestPFNClassifier,0.8642857142857142,0.024549512651549154,0.8446271375232053,0.03411401503042605,0.8133333333333335,0.05551109331909687,0.9301160862354892,0.012989680406681655,0.8274190197746452,0.03455523687345113,25.12201244831085,2.471335435741817
