,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9821428571428571,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
MedPFNClassifier,0.9821428571428571,0.0,0.0,0.0,0.0,0.0,0.7804545454545455,0.13109598401474162,0.0,0.0,0.3448018550872803,0.01003858583029756
MedPFNClassifier,0.9821428571428571,0.0,0.0,0.0,0.0,0.0,0.8372727272727273,0.11809087409895201,0.0,0.0,1.9428011417388915,0.03633684086711154
MedPFNClassifier,0.9821428571428571,0.0,0.0,0.0,0.0,0.0,0.8404545454545455,0.11687122955424342,0.0,0.0,14.10300064086914,0.14315250648093647
RandomForestClassifier,0.9830357142857145,0.002678571428571452,0.1,0.30000000000000004,0.05,0.15000000000000002,0.8109090909090909,0.13588096394873114,0.06666666666666667,0.19999999999999998,0.17869963645935058,0.0073625485276778676
CatBoostGrid,0.9830357142857145,0.002678571428571452,0.1,0.30000000000000004,0.05,0.15000000000000002,0.8013636363636364,0.11969399689442237,0.06666666666666667,0.19999999999999998,75.12340884208679,3.7895637470747046
XGBoostGrid,0.9821428571428571,0.0,0.0,0.0,0.0,0.0,0.8424999999999999,0.15311520672005646,0.0,0.0,31.351000237464905,0.949318855459099
LogisticRegressionClassifier,0.9678571428571427,0.010714285714285678,0.0,0.0,0.0,0.0,0.40136363636363626,0.2611010538672307,0.0,0.0,0.008800148963928223,0.001076547952019295
TabPFNClassifier,0.9794642857142858,0.004091585441924843,0.0,0.0,0.0,0.0,0.8315909090909092,0.15781370437720607,0.0,0.0,3.1339004039764404,0.06652394425863534
TabForestPFNClassifier,0.9776785714285715,0.007198444418123699,0.1,0.30000000000000004,0.05,0.15000000000000002,0.7912500000000001,0.1520215448655413,0.06666666666666667,0.19999999999999998,23.75320658683777,0.771150315060251
